Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Brass: Birmingham,8.421,8.61,41991,84.99,2018.0,3.89,2.0,4.0,60.0,120.0,14.0,Strategy,
Pandemic Legacy: Season 1,8.386,8.53,51950,49.97,2015.0,2.83,2.0,4.0,60.0,60.0,13.0,Strategy,Thematic
Gloomhaven,8.374,8.61,60276,,2017.0,3.9,1.0,4.0,60.0,120.0,14.0,Strategy,Thematic
Ark Nova,8.321,8.53,37020,58.99,2021.0,3.74,1.0,4.0,90.0,150.0,14.0,Strategy,
Twilight Imperium: Fourth Edition,8.242,8.61,22123,126.49,2017.0,4.31,3.0,6.0,240.0,480.0,14.0,Strategy,Thematic
Terraforming Mars,8.222,8.37,94074,79.99,2016.0,3.26,1.0,5.0,120.0,120.0,12.0,Strategy,
Dune: Imperium,8.209,8.42,39629,51.43,2020.0,3.03,1.0,4.0,60.0,120.0,14.0,Strategy,
Gloomhaven: Jaws of the Lion,8.189,8.47,31558,36.97,2020.0,3.64,1.0,4.0,30.0,120.0,14.0,Strategy,Thematic
War of the Ring: Second Edition,8.181,8.53,20119,74.89,2011.0,4.21,2.0,4.0,150.0,180.0,13.0,Thematic,Wargames
Star Wars: Rebellion,8.171,8.42,31079,,2016.0,3.74,2.0,4.0,180.0,240.0,14.0,Thematic,
Spirit Island,8.151,8.35,47542,67.31,2017.0,4.06,1.0,4.0,90.0,120.0,13.0,Strategy,
Gaia Project,8.129,8.39,25780,78.99,2017.0,4.4,1.0,4.0,60.0,150.0,12.0,Strategy,
Twilight Struggle,8.076,8.25,47650,56.18,2005.0,3.61,2.0,2.0,120.0,180.0,13.0,Strategy,Wargames
Through the Ages: A New Story of Civilization,8.074,8.3,30598,69.73,2015.0,4.44,2.0,4.0,120.0,120.0,14.0,Strategy,
Great Western Trail,8.048,8.21,39618,39.99,2016.0,3.7,2.0,4.0,75.0,150.0,12.0,Strategy,
The Castles of Burgundy,8.009,8.13,59824,49.99,2011.0,2.99,2.0,4.0,30.0,90.0,12.0,Strategy,
Scythe,8.006,8.16,79816,65.92,2016.0,3.44,1.0,5.0,90.0,115.0,14.0,Strategy,
7 Wonders Duel,7.972,8.1,89345,21.99,2015.0,2.23,2.0,2.0,30.0,30.0,10.0,Strategy,
Eclipse: Second Dawn for the Galaxy,7.969,8.48,12086,168.88,2020.0,3.67,2.0,6.0,60.0,200.0,14.0,Strategy,
Brass: Lancashire,7.962,8.19,24175,78.99,2007.0,3.86,2.0,4.0,60.0,120.0,14.0,Strategy,
Nemesis,7.961,8.28,28296,199.9,2018.0,3.46,1.0,5.0,90.0,180.0,12.0,Thematic,
A Feast for Odin,7.948,8.18,26895,96.78,2016.0,3.86,1.0,4.0,30.0,120.0,12.0,Strategy,
Clank! Legacy: Acquisitions Incorporated,7.947,8.56,8712,118.97,2019.0,2.71,2.0,4.0,90.0,120.0,13.0,Thematic,
Concordia,7.947,8.1,38871,62.92,2013.0,2.99,2.0,5.0,100.0,100.0,13.0,Strategy,
Wingspan,7.916,8.06,85796,44.99,2019.0,2.46,1.0,5.0,40.0,70.0,10.0,Family,Strategy
Terra Mystica,7.911,8.07,46882,59.97,2012.0,3.97,2.0,5.0,60.0,150.0,12.0,Strategy,
Arkham Horror: The Card Game,7.905,8.13,41392,23.88,2016.0,3.53,1.0,2.0,60.0,120.0,14.0,Customizable,Thematic
Lost Ruins of Arnak,7.896,8.08,39421,39.99,2020.0,2.91,1.0,4.0,30.0,120.0,12.0,Family,Strategy
Root,7.885,8.08,47238,59.94,2018.0,3.78,2.0,4.0,60.0,90.0,10.0,Strategy,Wargames
Great Western Trail: Second Edition,7.883,8.38,10554,61.44,2021.0,3.72,1.0,4.0,75.0,150.0,12.0,Strategy,
Orléans,7.876,8.06,30130,54.28,2014.0,3.03,2.0,5.0,90.0,90.0,12.0,Strategy,
Everdell,7.859,8.04,49662,55.0,2018.0,2.81,1.0,4.0,40.0,80.0,13.0,Family,Strategy
Mage Knight Board Game,7.857,8.09,32608,61.59,2011.0,4.36,1.0,4.0,60.0,240.0,14.0,Strategy,Thematic
Viticulture Essential Edition,7.85,8.0,46331,48.63,2015.0,2.89,1.0,6.0,45.0,90.0,13.0,Strategy,
Barrage,7.85,8.18,16255,,2019.0,4.1,1.0,4.0,60.0,120.0,14.0,Strategy,
The Crew: Mission Deep Sea,7.848,8.19,14710,27.0,2021.0,2.05,2.0,5.0,20.0,20.0,10.0,Family,
Too Many Bones,7.84,8.35,11911,159.95,2017.0,3.85,1.0,4.0,60.0,120.0,12.0,Strategy,Thematic
Food Chain Magnate,7.81,8.07,19542,104.0,2015.0,4.2,2.0,5.0,120.0,240.0,14.0,Strategy,
Pax Pamir: Second Edition,7.801,8.22,12578,78.99,2019.0,3.84,1.0,5.0,45.0,120.0,13.0,Strategy,
Marvel Champions: The Card Game,7.8,8.13,22103,41.99,2019.0,2.92,1.0,4.0,45.0,90.0,14.0,Customizable,
Underwater Cities,7.789,8.07,18303,61.02,2018.0,3.6,1.0,4.0,80.0,150.0,12.0,Strategy,
Puerto Rico,7.787,7.92,69960,,2002.0,3.27,3.0,5.0,90.0,150.0,12.0,Strategy,
Frosthaven,7.785,8.87,5653,199.98,2022.0,4.34,1.0,4.0,30.0,120.0,14.0,Strategy,Thematic
Caverna: The Cave Farmers,7.774,7.96,33888,67.6,2013.0,3.78,1.0,7.0,30.0,210.0,12.0,Strategy,
Blood Rage,7.768,7.94,45373,84.19,2015.0,2.88,2.0,4.0,60.0,90.0,14.0,Strategy,
Cascadia,7.767,7.96,31932,29.99,2021.0,1.83,1.0,4.0,30.0,45.0,10.0,Abstract,Family
Anachrony,7.761,8.08,17679,,2017.0,4.02,1.0,4.0,30.0,120.0,15.0,Strategy,
Agricola,7.758,7.88,71477,67.59,2007.0,3.64,1.0,5.0,30.0,150.0,12.0,Strategy,
On Mars,7.758,8.21,11797,112.49,2020.0,4.67,1.0,4.0,90.0,150.0,14.0,Strategy,
Crokinole,7.75,8.02,17071,170.0,1876.0,1.24,2.0,4.0,30.0,30.0,8.0,Family,
Kanban EV,7.739,8.44,6816,121.49,2020.0,4.31,1.0,4.0,60.0,180.0,14.0,Strategy,
Sleeping Gods,7.737,8.26,10185,89.88,2021.0,3.23,1.0,4.0,60.0,1200.0,13.0,Thematic,
Pandemic Legacy: Season 0,7.736,8.42,6949,69.9,2020.0,3.15,2.0,4.0,45.0,60.0,14.0,Strategy,Thematic
Heat: Pedal to the Metal,7.735,8.1,15140,124.99,2022.0,2.19,1.0,6.0,30.0,60.0,10.0,Family,
Pandemic Legacy: Season 2,7.733,8.04,16333,53.99,2017.0,3.25,2.0,4.0,60.0,60.0,14.0,Strategy,Thematic
Mansions of Madness: Second Edition,7.725,7.96,34910,89.99,2016.0,2.67,1.0,5.0,120.0,180.0,14.0,Thematic,
Lisboa,7.721,8.2,10478,139.99,2017.0,4.59,1.0,4.0,60.0,120.0,12.0,Strategy,
Maracaibo,7.72,8.05,15125,58.99,2019.0,3.9,1.0,4.0,30.0,120.0,12.0,Strategy,
Tzolk'in: The Mayan Calendar,7.711,7.87,38161,59.95,2012.0,3.67,2.0,4.0,90.0,90.0,13.0,Strategy,
Power Grid,7.708,7.82,64093,44.95,2004.0,3.26,2.0,6.0,120.0,120.0,12.0,Strategy,
The Quacks of Quedlinburg,7.69,7.83,45792,39.99,2018.0,1.95,2.0,4.0,45.0,45.0,10.0,Family,
Clans of Caledonia,7.689,7.95,19803,,2017.0,3.46,1.0,4.0,30.0,120.0,12.0,Strategy,
Le Havre,7.685,7.85,30931,,2008.0,3.72,1.0,5.0,30.0,150.0,12.0,Strategy,
Paladins of the West Kingdom,7.684,7.99,16669,50.76,2019.0,3.72,1.0,4.0,90.0,120.0,12.0,Strategy,
Star Wars: Imperial Assault,7.682,7.97,24140,97.93,2014.0,3.3,1.0,5.0,60.0,120.0,14.0,Thematic,
The Crew: The Quest for Planet Nine,7.682,7.83,39044,14.99,2019.0,1.96,2.0,5.0,20.0,20.0,10.0,Family,Strategy
The Gallerist,7.68,8.03,13955,116.95,2015.0,4.26,1.0,4.0,60.0,150.0,13.0,Strategy,
Grand Austria Hotel,7.673,7.93,19556,64.99,2015.0,3.22,2.0,4.0,60.0,120.0,12.0,Strategy,
Mechs vs. Minions,7.669,7.98,17079,,2016.0,2.43,2.0,4.0,60.0,120.0,14.0,Strategy,Thematic
Cthulhu: Death May Die,7.667,8.17,10881,87.99,2019.0,2.44,1.0,5.0,90.0,120.0,14.0,Thematic,
Android: Netrunner,7.66,7.88,29685,89.95,2012.0,3.4,2.0,2.0,45.0,45.0,14.0,Customizable,
Kingdom Death: Monster,7.659,8.5,9372,849.0,2015.0,4.27,1.0,4.0,60.0,180.0,17.0,Thematic,
Azul,7.646,7.76,84533,21.7,2017.0,1.76,2.0,4.0,30.0,45.0,8.0,Abstract,Family
Obsession,7.636,8.16,9521,,2018.0,3.11,1.0,4.0,30.0,90.0,14.0,Strategy,Thematic
Agricola (Revised Edition),7.634,7.96,16683,67.59,2016.0,3.46,1.0,4.0,30.0,120.0,12.0,Strategy,
Race for the Galaxy,7.633,7.75,54271,27.38,2007.0,2.99,2.0,4.0,30.0,60.0,12.0,Strategy,
Eclipse: New Dawn for the Galaxy,7.629,7.84,28124,,2011.0,3.7,2.0,6.0,60.0,180.0,14.0,Strategy,
Five Tribes,7.627,7.78,40360,,2014.0,2.85,2.0,4.0,40.0,80.0,13.0,Strategy,
Aeon's End,7.626,7.92,19409,52.79,2016.0,2.81,1.0,4.0,60.0,60.0,14.0,Strategy,
Clank!: A Deck-Building Adventure,7.624,7.79,40485,59.99,2016.0,2.22,2.0,4.0,30.0,60.0,12.0,Family,Strategy
Fields of Arle,7.609,8.04,10545,,2014.0,3.86,1.0,2.0,60.0,120.0,13.0,Strategy,
Teotihuacan: City of Gods,7.607,7.88,19171,49.95,2018.0,3.78,1.0,4.0,90.0,120.0,14.0,Strategy,
Through the Ages: A Story of Civilization,7.607,7.85,19180,99.99,2006.0,4.18,2.0,4.0,120.0,120.0,12.0,Strategy,
Beyond the Sun,7.603,7.95,13026,44.49,2020.0,3.14,2.0,4.0,60.0,120.0,14.0,Strategy,
Lords of Waterdeep,7.595,7.73,54249,34.99,2012.0,2.45,2.0,5.0,60.0,120.0,12.0,Strategy,
Dominant Species,7.588,7.82,20747,72.98,2010.0,4.04,2.0,6.0,120.0,240.0,14.0,Strategy,
The Voyages of Marco Polo,7.588,7.79,24326,99.99,2015.0,3.18,2.0,4.0,40.0,100.0,12.0,Strategy,
Robinson Crusoe: Adventures on the Cursed Island,7.585,7.76,42258,50.95,2012.0,3.81,1.0,4.0,60.0,120.0,14.0,Thematic,
7 Wonders,7.583,7.69,101705,39.99,2010.0,2.32,2.0,7.0,30.0,30.0,10.0,Family,Strategy
The Search for Planet X,7.567,7.98,10737,39.89,2020.0,2.38,1.0,4.0,60.0,75.0,13.0,Strategy,
Tainted Grail: The Fall of Avalon,7.559,8.11,11688,122.57,2019.0,3.34,1.0,4.0,60.0,120.0,14.0,Thematic,
El Grande,7.555,7.73,27224,,1995.0,3.03,2.0,5.0,60.0,120.0,12.0,Strategy,
Architects of the West Kingdom,7.549,7.75,27605,53.56,2018.0,2.75,1.0,5.0,60.0,80.0,12.0,Strategy,
The 7th Continent,7.545,7.85,21793,69.0,2017.0,2.9,1.0,4.0,5.0,1000.0,14.0,Thematic,
Battlestar Galactica: The Board Game,7.543,7.73,36092,,2008.0,3.25,3.0,6.0,120.0,180.0,14.0,Thematic,
Decrypto,7.537,7.77,20894,24.99,2018.0,1.81,3.0,8.0,15.0,45.0,12.0,Party,
Inis,7.535,7.82,19048,72.79,2016.0,2.89,2.0,4.0,60.0,90.0,14.0,Strategy,
Keyflower,7.533,7.73,22579,75.08,2012.0,3.34,2.0,6.0,90.0,120.0,12.0,Strategy,
Raiders of the North Sea,7.53,7.75,23113,47.94,2015.0,2.55,2.0,4.0,60.0,80.0,12.0,Strategy,
Trickerion: Legends of Illusion,7.529,7.97,10253,70.0,2015.0,4.25,2.0,4.0,60.0,180.0,14.0,Strategy,
Caylus,7.528,7.72,28918,124.99,2005.0,3.8,2.0,5.0,60.0,150.0,12.0,Strategy,
Tigris & Euphrates,7.524,7.71,28269,,1997.0,3.5,2.0,4.0,90.0,90.0,12.0,Strategy,
Dominion: Intrigue,7.524,7.69,33299,33.68,2009.0,2.41,2.0,6.0,30.0,30.0,13.0,Strategy,
Mombasa,7.521,7.85,13065,,2015.0,3.9,2.0,4.0,75.0,150.0,12.0,Strategy,
Lorenzo il Magnifico,7.52,7.85,13359,49.95,2016.0,3.29,2.0,4.0,60.0,120.0,12.0,Strategy,
Troyes,7.519,7.72,22913,49.99,2010.0,3.46,1.0,4.0,90.0,90.0,12.0,Strategy,
Eldritch Horror,7.519,7.76,35551,53.79,2013.0,3.32,1.0,8.0,120.0,240.0,14.0,Thematic,
The Lord of the Rings: Journeys in Middle-Earth,7.514,7.93,15559,101.31,2019.0,2.65,1.0,5.0,60.0,120.0,14.0,Thematic,
Concordia Venus,7.507,8.29,5236,66.42,2018.0,3.02,2.0,6.0,60.0,120.0,12.0,Strategy,
Twilight Imperium: Third Edition,7.506,7.8,19186,178.95,2005.0,4.26,3.0,6.0,180.0,240.0,14.0,Strategy,Thematic
Russian Railroads,7.497,7.74,17618,229.99,2013.0,3.4,2.0,4.0,120.0,120.0,13.0,Strategy,
Patchwork,7.496,7.6,63127,27.99,2014.0,1.6,2.0,2.0,15.0,30.0,8.0,Abstract,Family
Trajan,7.491,7.75,17333,,2011.0,3.64,2.0,4.0,60.0,120.0,12.0,Strategy,
Carnegie,7.489,8.04,7812,63.85,2022.0,3.83,1.0,4.0,90.0,120.0,12.0,Strategy,
Oathsworn: Into the Deepwood,7.486,9.08,3493,649.99,2022.0,3.57,1.0,4.0,30.0,90.0,14.0,Thematic,
Rising Sun,7.486,7.78,20530,109.99,2018.0,3.3,3.0,5.0,90.0,120.0,14.0,Strategy,
Dominion,7.483,7.6,89024,38.34,2008.0,2.35,2.0,4.0,30.0,30.0,13.0,Strategy,
Aeon's End: War Eternal,7.482,8.28,5452,38.62,2017.0,2.92,1.0,4.0,60.0,60.0,14.0,Strategy,
Dwellings of Eldervale,7.478,8.2,6218,,2020.0,3.26,1.0,5.0,60.0,150.0,14.0,Strategy,
Age of Steam,7.47,7.84,10921,,2002.0,3.88,1.0,6.0,120.0,120.0,13.0,Strategy,
Vinhos: Deluxe Edition,7.469,8.11,6493,116.2,2016.0,4.02,1.0,4.0,60.0,135.0,14.0,Strategy,
The Quest for El Dorado,7.468,7.67,23309,,2017.0,1.93,2.0,4.0,30.0,60.0,10.0,Family,
Clank! In! Space!: A Deck-Building Adventure,7.467,7.8,13811,79.95,2017.0,2.55,2.0,4.0,45.0,90.0,12.0,Family,Strategy
The Isle of Cats,7.466,7.73,20099,34.99,2019.0,2.36,1.0,4.0,60.0,90.0,8.0,Family,Strategy
Pandemic: Iberia,7.463,7.89,10384,45.95,2016.0,2.58,2.0,5.0,45.0,45.0,8.0,Strategy,
Hansa Teutonica,7.463,7.73,15048,50.37,2009.0,3.1,2.0,5.0,45.0,90.0,12.0,Strategy,
Codenames,7.458,7.55,88230,12.39,2015.0,1.26,2.0,8.0,15.0,15.0,14.0,Party,
Forbidden Stars,7.458,7.98,9023,,2015.0,3.84,2.0,4.0,120.0,180.0,14.0,Strategy,
Yokohama,7.457,7.82,11367,,2016.0,3.31,2.0,4.0,90.0,90.0,14.0,Strategy,
Champions of Midgard,7.454,7.73,17036,54.99,2015.0,2.61,2.0,4.0,60.0,90.0,10.0,Strategy,
PARKS,7.45,7.68,23175,44.99,2019.0,2.13,1.0,5.0,30.0,60.0,10.0,Family,
Roll for the Galaxy,7.449,7.6,31222,52.18,2014.0,2.78,2.0,5.0,45.0,45.0,13.0,Strategy,
Cartographers,7.443,7.62,27239,19.99,2019.0,1.88,1.0,100.0,30.0,45.0,10.0,Family,
Pandemic,7.438,7.54,122109,28.43,2008.0,2.4,2.0,4.0,45.0,45.0,8.0,Family,Strategy
Res Arcana,7.433,7.66,20677,34.45,2019.0,2.63,2.0,4.0,30.0,60.0,12.0,Strategy,
Targi,7.429,7.62,22488,19.93,2012.0,2.34,2.0,2.0,60.0,60.0,12.0,Strategy,
SCOUT,7.427,7.8,10988,23.0,2019.0,1.35,2.0,5.0,15.0,15.0,9.0,Family,
Watergate,7.426,7.8,11142,26.99,2019.0,2.26,2.0,2.0,30.0,60.0,12.0,Strategy,
Just One,7.423,7.6,25203,16.61,2018.0,1.04,3.0,7.0,20.0,60.0,8.0,Party,
Rajas of the Ganges,7.422,7.73,13548,45.4,2017.0,2.89,2.0,4.0,45.0,75.0,12.0,Strategy,
Alchemists,7.422,7.65,22267,59.95,2014.0,3.93,2.0,4.0,120.0,120.0,13.0,Strategy,
Star Realms,7.42,7.56,43651,11.99,2014.0,1.93,2.0,2.0,20.0,20.0,12.0,Strategy,
Ra,7.42,7.59,24032,,1999.0,2.34,2.0,5.0,45.0,60.0,12.0,Strategy,
It's a Wonderful World,7.42,7.69,17224,46.53,2019.0,2.31,1.0,5.0,30.0,60.0,14.0,Strategy,
Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,7.419,7.65,20839,57.99,1982.0,2.68,1.0,8.0,60.0,120.0,13.0,Thematic,
Kemet,7.418,7.66,18880,,2012.0,3.0,2.0,5.0,90.0,120.0,13.0,Strategy,
Praga Caput Regni,7.416,7.94,8008,73.99,2020.0,3.75,1.0,4.0,45.0,150.0,14.0,Strategy,
Endeavor: Age of Sail,7.415,7.9,9035,127.93,2018.0,2.85,2.0,5.0,60.0,90.0,13.0,Strategy,
Hadrian's Wall,7.411,8.01,6923,54.9,2021.0,3.13,1.0,6.0,30.0,60.0,12.0,Strategy,
Stone Age,7.409,7.53,51750,54.99,2008.0,2.46,2.0,4.0,60.0,90.0,10.0,Family,Strategy
Ticket to Ride: Europe,7.408,7.53,73426,31.83,2005.0,1.92,2.0,5.0,30.0,60.0,8.0,Family,
Legendary Encounters: An Alien Deck Building Game,7.406,7.76,13011,,2014.0,2.7,1.0,5.0,30.0,60.0,17.0,Thematic,
Terraforming Mars: Ares Expedition,7.404,7.7,15646,33.94,2021.0,2.92,1.0,4.0,45.0,60.0,14.0,Strategy,
The Lord of the Rings: The Card Game,7.401,7.66,23834,74.93,2011.0,3.21,1.0,2.0,30.0,60.0,13.0,Customizable,
Marco Polo II: In the Service of the Khan,7.398,7.98,6858,,2019.0,3.38,2.0,4.0,60.0,120.0,12.0,Strategy,
Star Wars: X-Wing Miniatures Game,7.398,7.64,24793,56.99,2012.0,2.49,2.0,2.0,30.0,45.0,14.0,Customizable,Wargames
Magic: The Gathering,7.397,7.57,38773,77.49,1993.0,3.25,2.0,2.0,20.0,20.0,13.0,Customizable,
Tyrants of the Underdark,7.395,7.91,8480,37.5,2016.0,2.55,2.0,4.0,60.0,60.0,14.0,Strategy,
Viscounts of the West Kingdom,7.394,7.86,8989,55.8,2020.0,3.45,1.0,4.0,60.0,90.0,12.0,Strategy,
Undaunted: Normandy,7.394,7.81,10740,42.54,2019.0,2.25,2.0,2.0,45.0,60.0,14.0,Wargames,
Istanbul,7.393,7.55,30618,69.99,2014.0,2.58,2.0,5.0,40.0,60.0,10.0,Family,Strategy
Glen More II: Chronicles,7.391,7.92,7675,84.99,2019.0,3.03,2.0,4.0,90.0,120.0,12.0,Strategy,
That's Pretty Clever!,7.39,7.58,23230,20.99,2018.0,1.88,1.0,4.0,30.0,30.0,8.0,Family,
Xia: Legends of a Drift System,7.39,7.87,9681,,2014.0,3.19,3.0,5.0,60.0,180.0,12.0,Strategy,Thematic
Splendor Duel,7.39,7.98,7237,29.99,2022.0,1.97,2.0,2.0,30.0,30.0,10.0,Family,Strategy
Welcome To...,7.389,7.55,29399,39.95,2018.0,1.84,1.0,100.0,25.0,25.0,10.0,Family,
War Chest,7.382,7.86,9158,44.58,2018.0,2.3,2.0,4.0,30.0,30.0,14.0,Abstract,
Jaipur,7.376,7.49,49473,24.99,2009.0,1.47,2.0,2.0,30.0,30.0,12.0,Family,
Radlands,7.374,7.9,8605,30.99,2021.0,2.26,2.0,2.0,20.0,40.0,14.0,Strategy,
Chaos in the Old World,7.373,7.66,15481,,2009.0,3.2,3.0,4.0,60.0,120.0,13.0,Strategy,Thematic
Nemesis: Lockdown,7.372,8.38,4520,141.62,2022.0,3.91,1.0,5.0,90.0,180.0,12.0,Thematic,
Wingspan Asia,7.37,8.36,4198,35.99,2022.0,2.64,1.0,2.0,40.0,70.0,10.0,Family,Strategy
Dominion (Second Edition),7.37,7.85,9197,38.34,2016.0,2.17,2.0,4.0,30.0,30.0,14.0,Strategy,
War of the Ring,7.369,7.77,10599,78.59,2004.0,3.84,2.0,4.0,120.0,120.0,12.0,Thematic,Wargames
Final Girl,7.369,8.35,4722,19.99,2021.0,2.63,1.0,1.0,20.0,60.0,14.0,Thematic,
This War of Mine: The Board Game,7.359,7.78,12552,63.49,2017.0,3.3,1.0,6.0,45.0,120.0,18.0,Thematic,
Descent: Journeys in the Dark (Second Edition),7.358,7.62,25034,199.95,2012.0,3.21,1.0,5.0,120.0,120.0,14.0,Thematic,
Azul: Summer Pavilion,7.354,7.65,14667,34.9,2019.0,2.05,2.0,4.0,30.0,45.0,8.0,Abstract,Family
Revive,7.353,8.18,4819,,2022.0,3.42,1.0,4.0,90.0,120.0,14.0,Strategy,
Memoir '44,7.353,7.54,29588,,2004.0,2.28,2.0,8.0,30.0,60.0,8.0,Wargames,
Hegemony: Lead Your Class to Victory,7.35,8.54,3580,324.99,2023.0,4.12,2.0,4.0,90.0,180.0,14.0,Strategy,
Unmatched: Cobble & Fog,7.35,8.0,6526,38.79,2020.0,1.97,2.0,4.0,20.0,40.0,9.0,Strategy,
Too Many Bones: Undertow,7.347,8.69,3068,119.99,2018.0,4.01,1.0,2.0,60.0,180.0,12.0,Strategy,Thematic
Horrified,7.346,7.66,15246,39.99,2019.0,2.05,1.0,5.0,60.0,60.0,10.0,Family,Thematic
Cosmic Encounter,7.346,7.53,32227,55.99,2008.0,2.59,3.0,5.0,60.0,120.0,12.0,Strategy,Thematic
Railways of the World,7.343,7.67,12125,149.99,2005.0,3.02,2.0,6.0,120.0,120.0,10.0,Strategy,
Castles of Mad King Ludwig,7.34,7.52,25196,50.09,2014.0,2.65,1.0,4.0,90.0,90.0,13.0,Strategy,
The Resistance: Avalon,7.339,7.52,32613,20.13,2012.0,1.74,5.0,10.0,30.0,30.0,13.0,Party,
Sagrada,7.338,7.48,39117,39.95,2017.0,1.92,1.0,4.0,30.0,45.0,14.0,Abstract,Family
Sekigahara: The Unification of Japan,7.335,8.0,5699,82.34,2011.0,2.79,2.0,2.0,180.0,180.0,14.0,Wargames,
Dune,7.334,7.96,7840,50.0,2019.0,3.99,2.0,6.0,120.0,180.0,14.0,Strategy,Thematic
The Red Cathedral,7.332,7.73,10687,38.25,2020.0,2.82,1.0,4.0,80.0,80.0,10.0,Strategy,
Ora et Labora,7.33,7.69,10830,69.99,2011.0,3.89,1.0,4.0,60.0,180.0,13.0,Strategy,
A Game of Thrones: The Board Game (Second Edition),7.327,7.54,33723,40.99,2011.0,3.72,3.0,6.0,120.0,240.0,14.0,Strategy,
Ticket to Ride: Nordic Countries,7.327,7.63,13771,,2007.0,1.97,2.0,3.0,30.0,60.0,8.0,Family,
Clank!: Catacombs,7.326,8.33,3897,58.95,2022.0,2.51,2.0,4.0,45.0,90.0,13.0,Family,Strategy
Star Wars: Outer Rim,7.322,7.73,11546,60.85,2019.0,2.52,1.0,4.0,120.0,180.0,14.0,Thematic,
Dead of Winter: A Crossroads Game,7.318,7.48,45492,35.65,2014.0,3.01,2.0,5.0,60.0,120.0,13.0,Thematic,
Suburbia,7.318,7.48,24823,69.95,2012.0,2.77,1.0,4.0,60.0,90.0,8.0,Strategy,
Commands & Colors: Ancients,7.317,7.77,8712,58.04,2006.0,2.69,2.0,2.0,60.0,60.0,12.0,Wargames,
Meadow,7.317,7.77,9035,29.47,2021.0,2.23,1.0,4.0,60.0,90.0,10.0,Family,Strategy
Darwin's Journey,7.316,8.21,4443,,2023.0,3.85,1.0,4.0,60.0,120.0,14.0,Strategy,
Earth,7.316,7.75,10069,39.8,2023.0,2.87,1.0,5.0,45.0,90.0,13.0,Strategy,
Space Base,7.316,7.55,17724,36.01,2018.0,2.12,2.0,5.0,60.0,60.0,14.0,Family,
Captain Sonar,7.316,7.52,20638,63.49,2016.0,2.19,2.0,8.0,45.0,60.0,14.0,Party,Thematic
Go,7.314,7.65,16918,30.99,-2200.0,3.93,2.0,2.0,30.0,180.0,8.0,Abstract,
Village,7.312,7.5,22945,159.99,2011.0,3.07,2.0,4.0,60.0,90.0,12.0,Strategy,
Welcome to the Moon,7.311,8.01,5493,45.45,2021.0,2.52,1.0,6.0,25.0,30.0,10.0,Family,Thematic
Paleo,7.308,7.72,10945,56.87,2020.0,2.63,1.0,4.0,45.0,60.0,10.0,Strategy,Thematic
Planet Unknown,7.303,7.91,6355,129.99,2022.0,2.23,1.0,6.0,60.0,80.0,10.0,Strategy,
Splendor,7.303,7.42,77281,22.61,2014.0,1.78,2.0,4.0,30.0,30.0,10.0,Family,
Modern Art,7.3,7.49,21548,,1992.0,2.29,3.0,5.0,45.0,45.0,10.0,Strategy,
Star Realms: Colony Wars,7.298,7.81,7920,17.95,2015.0,1.9,2.0,2.0,20.0,20.0,12.0,Strategy,
Tichu,7.298,7.58,15237,13.02,1991.0,2.34,4.0,4.0,60.0,60.0,10.0,Strategy,
Carcassonne,7.297,7.41,123011,22.67,2000.0,1.9,2.0,5.0,30.0,45.0,7.0,Family,
Coimbra,7.296,7.63,11561,47.79,2018.0,3.25,2.0,4.0,60.0,90.0,14.0,Strategy,
Near and Far,7.294,7.69,10082,59.6,2017.0,2.89,2.0,4.0,90.0,120.0,13.0,Thematic,
Combat Commander: Europe,7.293,7.95,5875,,2006.0,3.25,2.0,2.0,60.0,180.0,12.0,Wargames,
Ankh: Gods of Egypt,7.292,7.83,8274,70.56,2021.0,3.09,2.0,5.0,90.0,90.0,14.0,Strategy,
Calico,7.292,7.56,17122,,2020.0,2.17,1.0,4.0,30.0,45.0,10.0,Abstract,Family
Nations,7.292,7.61,12160,112.95,2013.0,3.55,1.0,5.0,40.0,200.0,14.0,Strategy,
Dinosaur Island,7.292,7.58,15689,49.99,2017.0,3.04,1.0,4.0,90.0,120.0,8.0,Strategy,
Under Falling Skies,7.292,7.69,10265,27.45,2020.0,2.4,1.0,1.0,20.0,40.0,12.0,Strategy,
Wonderland's War,7.29,8.13,4916,,2022.0,3.0,2.0,5.0,45.0,125.0,13.0,Strategy,
Nidavellir,7.29,7.61,12475,39.99,2020.0,2.1,2.0,5.0,45.0,45.0,10.0,Strategy,
Paths of Glory,7.289,8.05,5116,74.95,1999.0,3.85,2.0,2.0,480.0,480.0,14.0,Wargames,
YINSH,7.284,7.71,8792,35.88,2003.0,2.66,2.0,2.0,30.0,60.0,9.0,Abstract,
My City,7.28,7.67,9812,34.95,2020.0,1.99,2.0,4.0,30.0,30.0,10.0,Family,Strategy
Ticket to Ride,7.28,7.4,86892,43.97,2004.0,1.83,2.0,5.0,30.0,60.0,8.0,Family,
Cyclades,7.277,7.51,21096,70.56,2009.0,2.82,2.0,5.0,60.0,90.0,13.0,Strategy,
Aeon's End: Legacy,7.274,8.07,4821,101.68,2019.0,2.86,1.0,4.0,45.0,90.0,14.0,Strategy,Thematic
Codenames: Duet,7.271,7.45,21911,24.95,2017.0,1.36,2.0,2.0,15.0,30.0,11.0,Family,
