Title,Geek Rating,Avg rating,Num of voters,Price,Year,Complexity,Min players,Max players,Min time,Max time,Age,Type 1,Type 2
Conspiracy: Abyss Universe,6.531,7.26,2957,,2019.0,1.79,2.0,4.0,30.0,30.0,8.0,Family,
Mottainai,6.531,7.03,4199,14.99,2015.0,3.15,2.0,5.0,15.0,30.0,13.0,Strategy,
The Prodigals Club,6.53,7.3,2698,63.84,2015.0,3.26,2.0,5.0,40.0,100.0,14.0,Strategy,
Vinci,6.53,7.07,4044,,1999.0,2.78,3.0,6.0,120.0,120.0,14.0,Strategy,
Thunderstone: Dragonspire,6.529,7.32,2715,,2011.0,2.69,1.0,5.0,45.0,45.0,12.0,Strategy,Thematic
Kingdomino Origins,6.529,7.55,2056,27.99,2021.0,1.89,2.0,4.0,20.0,40.0,8.0,Family,
Stronghold,6.528,7.14,3466,,2009.0,3.67,2.0,4.0,120.0,120.0,10.0,Strategy,
Netrunner,6.527,7.44,2449,89.95,1996.0,2.93,2.0,2.0,45.0,45.0,10.0,Customizable,
Ambush!,6.527,7.51,2356,,1983.0,3.26,1.0,1.0,180.0,240.0,12.0,Wargames,
Challengers!,6.526,7.13,3666,24.99,2022.0,1.8,1.0,8.0,45.0,45.0,8.0,Family,Party
Haggis,6.526,6.99,4380,,2010.0,2.11,2.0,4.0,45.0,45.0,13.0,Strategy,
Ikusa,6.526,7.03,5179,,1986.0,2.95,2.0,5.0,240.0,360.0,12.0,Thematic,Wargames
Coconuts,6.524,7.03,4378,,2013.0,1.04,2.0,4.0,20.0,20.0,6.0,Children's,Family
China,6.524,6.98,4484,54.99,2005.0,2.28,3.0,5.0,45.0,45.0,12.0,Strategy,
Coffee Traders,6.523,7.75,1778,85.5,2021.0,4.23,2.0,5.0,120.0,150.0,12.0,Strategy,
Insider,6.523,7.05,3978,22.95,2016.0,1.12,4.0,8.0,15.0,15.0,9.0,Party,
Shadow Hunters,6.522,6.82,8737,,2005.0,1.82,4.0,8.0,60.0,60.0,10.0,Party,
Animal Upon Animal,6.521,6.79,8362,24.99,2005.0,1.04,2.0,4.0,15.0,15.0,4.0,Children's,
Eight-Minute Empire: Legends,6.518,6.92,5175,,2013.0,1.97,2.0,4.0,8.0,20.0,13.0,Family,Strategy
Obscurio,6.518,7.14,3591,49.41,2019.0,1.89,2.0,8.0,40.0,40.0,10.0,Family,
Cross Clues,6.517,7.26,3074,31.4,2020.0,1.04,2.0,6.0,5.0,10.0,7.0,Party,
Las Vegas Royale,6.517,7.45,2236,85.63,2019.0,1.4,2.0,5.0,45.0,60.0,8.0,Family,
Dead Men Tell No Tales,6.517,7.12,3777,43.85,2015.0,2.52,2.0,5.0,60.0,75.0,13.0,Strategy,Thematic
Fallout Shelter: The Board Game,6.516,7.24,3084,44.99,2020.0,2.0,2.0,4.0,60.0,90.0,14.0,Family,
Batman: Gotham City Chronicles,6.516,7.63,2547,,2019.0,3.75,2.0,4.0,60.0,90.0,14.0,Thematic,
World of Warcraft: Wrath of the Lich King,6.516,7.46,2582,32.97,2021.0,2.19,1.0,5.0,45.0,60.0,14.0,Thematic,
Automania,6.515,7.32,2485,149.99,2015.0,2.74,2.0,4.0,60.0,90.0,12.0,Strategy,
Thunder Road: Vendetta,6.514,8.04,1400,59.99,2023.0,2.1,2.0,4.0,45.0,75.0,10.0,Thematic,
Cockroach Poker Royal,6.514,7.06,3904,,2012.0,1.12,2.0,6.0,15.0,25.0,8.0,Party,
Wendake,6.513,7.48,2186,,2017.0,3.62,1.0,4.0,60.0,120.0,14.0,Strategy,
BattleCON: War of Indines,6.512,7.66,1919,,2010.0,2.76,2.0,4.0,15.0,60.0,9.0,Strategy,
Encore!,6.512,6.96,4865,24.99,2016.0,1.14,1.0,6.0,20.0,20.0,8.0,Family,
Mysterium Park,6.511,7.09,3885,25.79,2020.0,1.46,2.0,6.0,30.0,45.0,10.0,Family,Thematic
Diamonds,6.511,6.89,5424,,2014.0,1.55,2.0,6.0,20.0,30.0,8.0,Family,
Battle Cry,6.511,7.15,3527,199.97,1999.0,2.1,2.0,2.0,45.0,45.0,10.0,Wargames,
Andean Abyss,6.509,7.61,1940,,2012.0,3.78,1.0,4.0,360.0,360.0,12.0,Wargames,
Legacy of Dragonholt,6.509,7.22,3122,53.99,2017.0,1.23,1.0,6.0,60.0,999.0,14.0,,
Domaine,6.509,6.98,4494,,2003.0,2.71,2.0,4.0,60.0,60.0,12.0,Strategy,
Loopin' Louie,6.508,6.75,9317,59.99,1992.0,1.05,2.0,4.0,10.0,10.0,4.0,Children's,
Shadowrun: Crossfire,6.508,7.12,3663,,2014.0,2.83,1.0,4.0,30.0,60.0,13.0,Thematic,
Sushi Roll,6.507,7.04,3955,37.99,2019.0,1.23,2.0,5.0,20.0,20.0,8.0,Family,
"Julius Caesar: Caesar, Pompey, and the Roman Civil War",6.506,7.78,1662,69.99,2010.0,2.46,2.0,2.0,60.0,180.0,12.0,Wargames,
Catan Card Game,6.506,6.7,13956,,1996.0,2.44,2.0,2.0,60.0,120.0,10.0,Strategy,
